ANAL,Silicate.ANL,,,,,,,
RUN ,230123B.RUN,,,,,,,
DATE,1/23/2023,,,,,,,
TIME,1:37:27 PM,,,,,,,
OPER,BALINT,,,,,,,
COMM,NBay Longterm SI,,,,,,,
METH,,,,Silicate,,,Dilution,
UNIT,,,,µmol/L,,,,
Base,,,,-5435,,,,
Gain,,,,11,,,,
FIT,,,,L,,,,
COEFF,,,,0.9999,,,,
Sample ID,Peak Number,Cup Type,Calibrants 5,Results 5,AD Values,,Results 2,AD Values
Primer,1,PRIM,,100.198,55583,,1,0
Drift,2,DRIF,,100.046,55504,,1,0
Baseline,3,BASL,,-0.468,3206,,1,0
CCB,4,QUAL,,-0.466,3207,,1,0
MDL,5,UNKNOWN,,1.573,4268,,1,0
CCV,6,QUAL,,49.564,29238,,1,0
,7,NULL,,-0.378,3253,,1,0
96C,8,DSAMP,,129.595,37164,,2,0
96C,9,DSAMP,,128.45,36866,,2,0
97C,10,DSAMP,,66.732,20810,,2,0
97C,11,DSAMP,,66.044,20631,,2,0
98C,12,DSAMP,,66.194,20670,,2,0
98C,13,DSAMP,,65.602,20516,,2,0
99C,14,DSAMP,,60.901,19293,,2,0
99C,15,DSAMP,,60.382,19158,,2,0
100C,16,DSAMP,,59.371,18895,,2,0
100C,17,DSAMP,,59.428,18910,,2,0
101A,18,DSAMP,,53.828,17453,,2,0
101A,19,DSAMP,,53.512,17371,,2,0
102A,20,DSAMP,,52.048,16990,,2,0
102A,21,DSAMP,,51.948,16964,,2,0
103A,22,DSAMP,,37.187,13124,,2,0
103A,23,DSAMP,,36.73,13005,,2,0
104A,24,DSAMP,,36.476,12939,,2,0
104A,25,DSAMP,,36.261,12883,,2,0
105A,26,DSAMP,,20.954,8901,,2,0
105A,27,DSAMP,,20.812,8864,,2,0
106A,28,DSAMP,,21.15,8952,,2,0
106A,29,DSAMP,,20.92,8892,,2,0
107A,30,DSAMP,,4.683,4668,,2,0
107A,31,DSAMP,,4.549,4633,,2,0
108A,32,DSAMP,,4.933,4733,,2,0
108A,33,DSAMP,,4.856,4713,,2,0
109A,34,DSAMP,,8.823,5745,,2,0
109A,35,DSAMP,,8.727,5720,,2,0
110A,36,DSAMP,,9.269,5861,,2,0
110A,37,DSAMP,,9.254,5857,,2,0
101B,38,DSAMP,,55.542,17899,,2,0
101B,39,DSAMP,,55.196,17809,,2,0
102B,40,DSAMP,,53.889,17469,,2,0
102B,41,DSAMP,,53.782,17441,,2,0
103B,42,DSAMP,,37.283,13149,,2,0
103B,43,DSAMP,,37.08,13096,,2,0
104B,44,DSAMP,,37.956,13324,,2,0
104B,45,DSAMP,,37.702,13258,,2,0
105B,46,DSAMP,,22.077,9193,,2,0
105B,47,DSAMP,,21.846,9133,,2,0
106B,48,DSAMP,,22.254,9239,,2,0
106B,49,DSAMP,,22.05,9186,,2,0
107B,50,DSAMP,,4.929,4732,,2,0
107B,51,DSAMP,,4.837,4708,,2,0
108B,52,DSAMP,,5.175,4796,,2,0
108B,53,DSAMP,,5.156,4791,,2,0
109B,54,DSAMP,,9.546,5933,,2,0
109B,55,DSAMP,,9.557,5936,,2,0
110B,56,DSAMP,,9.5,5921,,2,0
